PR,Project,CommitHash,Time
122768360,django/django,92bd1ef4b4fa397072889af5357685908a1b2eeb,2017-05-30T13:14:57Z
122759806,django/django,eedc88bd4a8468c2a0daa8346c9b57183dd77782,2017-05-29T21:31:18Z
122757050,django/django,0d858edbdeade2c0bfd3c29f227676cc9210af82,2017-05-27T10:42:37Z
122756965,django/django,768bc247eb2fadecd26ada65d01073383c18bf35,2017-05-27T10:35:49Z
122751411,django/django,659ecb21ee2536095dc3750a2e64d718662faa3a,2017-05-27T07:30:53Z
122743510,django/django,fb55247d595088df455b3ef814e9366b3db1a4fe,2017-01-24T00:25:02Z
122743510,django/django,a69fc396e47cea763401eaaab92e11a5343e7d3e,2017-01-25T12:46:37Z
122743510,django/django,c94cb4f86541d8f76ee27652e214fedd0c0920fe,2017-01-25T14:15:36Z
122743510,django/django,ec0af19f4c9c845ff1ce376c83853ae9345205ca,2017-01-25T15:31:24Z
122743510,django/django,9194df2f5593c26c265826458e845dc028fe2530,2017-01-25T18:40:17Z
122743510,django/django,15967d5e4a063f2b86dbbd1f1e55c0f7bb1a06c6,2017-01-25T18:53:05Z
122743510,django/django,7dda48bf18454b34e8e0a305dbfda08ecfe8db25,2017-01-25T18:53:59Z
122743510,django/django,092f09fcc184cf611d5a144172c8b49c25c86577,2017-01-26T23:36:54Z
122743510,django/django,a364fb38107534362a9817d7d3243d4695798ffd,2017-01-26T23:58:43Z
122743510,django/django,d9f2887645e8babd332afdf971dc66a02428eaff,2017-01-27T16:29:55Z
122743510,django/django,33ff4e4e587853ffdcf603419ea0502cf3788c3a,2017-01-27T22:21:41Z
122743510,django/django,f706576adf16bd44fe10386a570cbb657b412066,2017-01-28T13:10:07Z
122743510,django/django,aa52e8b77b9680581ff47a0e5e8046ba289bd59f,2017-01-28T15:14:11Z
122743510,django/django,b183abfc8d09ecc1ee4ace4e0c6d11bd9d42b2fb,2017-01-28T17:58:17Z
122743510,django/django,f11c0008bc4020fd5f4c02e4ee500a0fc58f0ab3,2017-01-30T17:07:28Z
122743510,django/django,76a99f1b9ab6386685483fcd012a176c41d49363,2017-01-30T20:39:34Z
122743510,django/django,437e0ba5337e7bcc1425e1506675e6e780d06f42,2017-01-31T13:02:18Z
122743510,django/django,e2b19e70c7df99b3dc00c174741d01c2977aef00,2017-01-31T13:05:15Z
122743510,django/django,52e9c1c8b72bc30a66d838187bd9ecb1f22f8448,2017-01-31T14:43:31Z
122743510,django/django,8afe790df91faf45f13bccbb69310b45afcb1b30,2017-01-31T16:34:15Z
122743510,django/django,d43f8478478c333ed8b7e499abef17a86363d61c,2017-01-31T23:46:07Z
122743510,django/django,bc95e6a0bf7400688887a963b659aeb8f91ba035,2017-02-02T00:48:27Z
122743510,django/django,fe86a785a1079f646e7ad452f6fac08ec4d3378c,2017-02-04T00:10:19Z
122743510,django/django,f14899412d2fa779e3f8dbfa6e63b8a6a7a765a5,2017-02-04T19:20:10Z
122743510,django/django,2b17e4770bc02b4bf6864b21587feae815768613,2017-02-07T01:55:47Z
122743510,django/django,8a60e3d3fd166c0aa8bbb016a7e12a079c58e2bf,2017-02-07T12:50:02Z
122743510,django/django,f94e1a5de4c379575e3d9cf54f0a70671acba72b,2017-02-07T14:42:21Z
122743510,django/django,035c3a71dd817ddc749f69fa517189f94aa7da4d,2017-02-07T19:15:31Z
122743510,django/django,638bab2cabceb76b03798fd15f4f2905c9fdf94c,2017-02-08T13:39:32Z
122743510,django/django,ac7a186c34fea75cbd15147e662a32dcfebd11de,2017-02-08T17:34:37Z
122602736,django/django,3abe01bc3fe7edf2329a870bcdbb06248b117c97,2017-05-26T09:07:10Z
122474865,django/django,e1b331bafe883a47190f604cbf476e3229eac60c,2017-05-25T16:21:53Z
122474708,django/django,e0da3167f64da0a2e96dc8b07d852892bf7d2847,2017-05-25T16:19:22Z
122474598,django/django,fdaab00723c06656f2cbe41e0072fbee170ce423,2017-05-25T16:10:45Z
122471440,django/django,ec5478413470178a78e08f8c0660956101746868,2017-05-25T16:04:06Z
122401562,django/django,1f35ee208bcf95b712df11d2128082bf989f89dc,2017-05-25T09:14:18Z
122346271,django/django,0af14b2eaa0bf0821a8aacc8486489a1eb348397,2017-06-22T15:50:00Z
122307489,django/django,875a01ddc211531202e4852da5620785210b84e5,2017-05-24T19:52:15Z
122293399,django/django,b1a8d8de4e5726ce91407ede72b6ddc7bd58130f,2017-05-24T18:22:22Z
122201522,django/django,c5d3f187abadfacb3595f3ce2c57a568ff29ff77,2017-05-24T14:11:59Z
122159517,django/django,8e6364a9c007f60ddf1d47cc29de1e07d2ef067f,2017-05-24T07:09:55Z
122098582,django/django,093b56db8263399afed263ef6c1a733a2135081c,2017-05-24T00:34:02Z
122098582,django/django,166de71740a6b0006ded9cf594d68a8aa86c7081,2017-05-24T02:15:00Z
122098582,django/django,6253403969b96800393644fe3e08863efa23f0ec,2017-05-24T02:15:00Z
122098582,django/django,63e421ee873b661dea5bb1948ac7b43b2269674f,2017-05-24T02:44:23Z
122098582,django/django,a965a3dafd3dbb72ae9cc0f2985ef17cfa9f87da,2017-05-24T02:46:50Z
122098582,django/django,686aeaa1120e205e4d98709227ff5dd1b9f775c8,2017-05-31T04:07:44Z
122083803,django/django,4a98b816bfb8a40a743d3e84611ebb0c626be68b,2017-05-23T20:06:34Z
122008613,django/django,b4bb2ad13d178dd2db484c7721fd47aa3d285908,2016-03-17T13:51:48Z
122008613,django/django,f6f24af1f43b722dda9818297c1c75bcabc8f5aa,2016-03-18T15:38:44Z
122008613,django/django,5f5d654609c7b9b70438d684bc01ac6cbfc656a2,2016-03-18T15:49:56Z
122008613,django/django,2d178b3d2cbed7d7a21cf0de3bd9da9330c90755,2016-03-19T20:19:51Z
122008613,django/django,4e8c26531925227872ce29bc0cdee3329be4a216,2016-03-19T21:55:31Z
122008613,django/django,379bab354472b882fed250d0dceb73644d52e220,2016-03-19T22:40:28Z
122008613,django/django,4e80ec6a7bb59f6b6ef7ad8153d715098b2c9463,2016-03-21T12:13:32Z
122008613,django/django,367c092085d1f721fa39219168d9a1ff451ac083,2016-03-21T15:15:01Z
122008613,django/django,7dee62ff6833c1dbbf013b7f264f24226612a81b,2016-03-21T23:58:42Z
122008613,django/django,ccc367fd48655b8709a01653b224e5ffa19c9dee,2016-03-23T13:29:37Z
122008613,django/django,9d0c8d3dd9dce720f0b91d30508278e45235a3a9,2016-03-25T17:38:35Z
122008613,django/django,1f15d442bf59218fb62fd95cc065da1d9a14b577,2016-03-25T18:22:38Z
122008613,django/django,6ec2ab1cda16c81430da8be134d77efa061e133d,2016-03-25T19:50:41Z
122008613,django/django,844f071c660c068244ab0c4667390194f1b4fc92,2016-03-28T13:20:47Z
122008613,django/django,5fbb5426254c7e9b7f697317415589371c80d6de,2016-03-28T15:56:16Z
122008613,django/django,97c5539a81c71f314314bc9796e7e87c41ae43b8,2016-03-28T22:31:16Z
122008613,django/django,026574e03c6b6fd20a45f97b0470afb70e41fda4,2016-03-29T01:15:16Z
122008613,django/django,ed87af32662bf7a3829e679831e6e019b9d85112,2016-03-29T17:26:59Z
122008613,django/django,d58a324bea2df202bc09bd887f564c3f8e35b2ec,2016-03-31T13:58:11Z
122008613,django/django,a0e3cbaa2bcbab682dfc3fb2998c3b43b21a3741,2016-03-31T16:16:31Z
122008613,django/django,bca42c709fe6e72e8f5c0a46681aab400bddb427,2016-03-31T17:23:29Z
122008613,django/django,cac320bfaa1320795f4e630d315b02bc4c252231,2016-03-31T17:46:40Z
122008613,django/django,a304e7ddff23b14b8e6546a92eb5250d9cf6eaff,2016-03-31T22:30:58Z
122008613,django/django,6a8ba2eef45ccc3022c88510bffd29734d71c39e,2016-04-01T07:10:35Z
122008613,django/django,97ccab126cb395f3ed5d31ebb37995dcbe27329f,2016-04-01T13:51:16Z
122008613,django/django,d8725878ed04373ab34ca89efd998911d69b9563,2016-04-01T17:30:33Z
122008613,django/django,b29316c54bb3465265ff931e807229f13349457d,2016-04-01T17:34:09Z
122008613,django/django,d3f2f6fd4d71b8505cbdace803ed17eac4094b1a,2016-04-01T18:02:17Z
122008613,django/django,6200a5e52667fcc075829b7f392aa135a62f7ef8,2016-04-01T18:10:08Z
122008613,django/django,0325483e37dd83fc668daebc7a7dca6c365f51cc,2016-04-02T08:13:15Z
122005555,django/django,e0b456bee7bcf37e2a55471255686ee59c6cf03c,2017-06-07T15:30:35Z
121888080,django/django,e7dc39fb65e51d7613c941f7e5768b621dea4e76,2017-06-13T13:13:22Z
121829145,django/django,2d4059d2d6136b5d55af639978da1ffb4d26a6c7,2017-05-23T04:16:57Z
121827004,django/django,877d7b71ae952b3bc946e5187d6c23039a71614d,2017-05-30T22:06:58Z
121811865,django/django,a3ba2662cdaa36183fdfb8a26dfa157e26fca76a,2017-05-22T16:24:38Z
121804128,django/django,333c72d0a08d5791780febe4f21283facd18cd59,2017-05-23T01:38:46Z
121749761,django/django,272f685794de0b8dead220ee57b30e65c9aa097c,2018-02-06T14:03:43Z
121682949,django/django,f7810880da2196f13f23e024071a5114295fc36d,2017-05-21T23:51:04Z
121682949,django/django,9abfa32f27d9f9514e1dc35998c50cf4f0143341,2017-05-21T23:54:26Z
121644721,django/django,484306a778185b9006c7285215f2cf82e05779e7,2017-05-21T01:48:58Z
121639879,django/django,2162f0983de0dfe2178531638ce7ea56f54dd4e7,2018-02-11T00:08:55Z
121638899,django/django,94475aab800fc492853b67ada6b6b33d47554393,2017-05-27T17:58:56Z
121638899,django/django,7afb47646920ab3835dfa1750257dace01883a4b,2017-05-27T17:59:05Z
121638077,django/django,e9c7f118a7ab19a5441f2dceeb1765138d44daf7,2017-05-21T01:17:06Z
121628205,django/django,01f658644a7ee7cbff4ee5626d5894e9049ee8d5,2017-05-22T17:28:44Z
121620574,django/django,2cbb095bec757b804e8b6d9d0930ef3c6446a591,2017-05-25T20:47:21Z
121618093,django/django,b841b95cbf1f2e13d3d090a0a25db69ef2611de6,2017-05-20T09:57:42Z
121584578,django/django,b73cf595256cf5ee9573bf33a34e57f6dc0c3e9d,2017-05-19T21:16:20Z
121582033,django/django,4b46a578ab0f1b975764f84129ec144044723782,2017-05-19T21:20:16Z
121561716,django/django,169b801872c7b35f76fe5f1e37b1cf15acef8f6f,2017-05-20T08:38:40Z
121540858,django/django,59ab1b2683b6c090dc409d9eb8303aadbd590c04,2017-05-19T17:22:17Z
121480385,django/django,37ab3c3f9d707d6a1896db79c631e920dcb1fb78,2017-05-27T16:41:38Z
121344363,django/django,1c3a6cec2ae35c4326971e62acbc1891506e7e72,2017-05-25T13:02:13Z
121344363,django/django,bb0b6e526340e638522e093765e534df4e4393d2,2017-05-25T13:06:25Z
121026669,django/django,f370bfb10878918eae8db9985e0856949fa65d3a,2017-05-24T13:13:26Z
120975210,django/django,52049e2f97f8e0a8cd7ae8de80dc62c72cfa5ec8,2017-05-17T05:01:27Z
120967416,django/django,bf2df6d46fd05c6bc872dd435c3a9435e7fc1051,2017-06-05T20:59:32Z
120947968,django/django,9311a94ca50ac86f9c945922c212c6e605d2d90a,2014-12-30T16:53:33Z
120947968,django/django,f1a22feaa877e4ff655db7014557112274419898,2014-12-31T13:02:06Z
120947968,django/django,e11ff3975f69b96521d94417bbe4125f4abb2774,2014-12-31T14:42:07Z
120947968,django/django,c0bed63889b86f821f76133251566eafb70065f1,2014-12-31T14:51:10Z
120947968,django/django,4abfa73c1861c53d43f0448726346866b04b9b72,2014-12-31T16:33:27Z
120947968,django/django,8de2a44064ca11749579a5887f59821fa35e1fdc,2014-12-31T19:46:17Z
120947968,django/django,f461bc02cbfa7c04748e4b2392586fa3835330b1,2014-12-31T22:27:43Z
120947968,django/django,8e68b590abd22dc46e8aa3c963c32713755f6172,2015-01-01T16:40:08Z
120947968,django/django,1b8346439180ac443e397fcb176879680882f75c,2015-01-01T18:36:26Z
120947968,django/django,fda458c0b6902c248e84c5cde03ff5f4a4dce665,2015-01-02T18:23:18Z
120947968,django/django,20dcf5155b0cefca3412a28fd550757766878b9a,2015-01-03T00:20:44Z
120947968,django/django,880d7638cf66ed28a60b62335ccfc5dfd5052937,2015-01-03T00:44:36Z
120947968,django/django,f7ec788bf5b5e14068c1be8e6b9dc006152ba8af,2015-01-03T02:48:54Z
120947968,django/django,5f8761c6396f0d27b8948f55700ec176fedbf5d5,2015-01-03T13:48:59Z
120947968,django/django,01487684123342f052e139291175f4ea3d11a09b,2015-01-03T17:07:28Z
120947968,django/django,0a06ae9ef383ba00d7c30453e5d7d897506de842,2015-01-03T18:27:46Z
120947968,django/django,4aed731154b12e2948ee2b6a8baa5083840a343b,2015-01-03T18:36:13Z
120947968,django/django,0e21fd4e4048718fe065a8ff080c1d0df8173883,2015-01-05T19:25:36Z
